5,9347	6,2838	6,6038	6,9067	7,2153	7,5004	7,7539	8,0567	8,347	8,67	8,9695	9,2741	9,6106	9,9161	0,33416	0,69066	1,0335	1,3847	1,7399	2,0801	2,4077	2,7365	3,0203	3,3351	3,6326	3,9331	4,2815	4,5831	4,864	5,2488	5,5639	
5,6005	5,9496	6,2696	6,5726	6,8811	7,1662	7,4198	7,7225	8,0128	8,3358	8,6354	8,94	9,2764	9,582	9,9161	0,3565	0,69931	1,0505	1,4058	1,746	2,0736	2,4023	2,6861	3,0009	3,2985	3,5989	3,9473	4,2489	4,5299	4,9147	5,2297	
5,244	5,5931	5,9131	6,2161	6,5246	6,8097	7,0633	7,366	7,6563	7,9793	8,2789	8,5835	8,9199	9,2255	9,5596	9,9161	0,34281	0,69403	1,0493	1,3895	1,7171	2,0458	2,3296	2,6444	2,942	3,2424	3,5908	3,8924	4,1734	4,5582	4,8732	
4,9012	5,2503	5,5703	5,8733	6,1818	6,4669	6,7205	7,0232	7,3135	7,6365	7,936	8,2407	8,5771	8,8826	9,2168	9,5733	9,9161	0,35122	0,70646	1,0467	1,3743	1,703	1,9868	2,3016	2,5992	2,8996	3,248	3,5496	3,8306	4,2154	4,5304	
4,55	4,8991	5,2191	5,522	5,8306	6,1157	6,3692	6,672	6,9623	7,2853	7,5848	7,8895	8,2259	8,5314	8,8656	9,2221	9,5649	9,9161	0,35524	0,69545	1,023	1,3518	1,6356	1,9504	2,2479	2,5484	2,8968	3,1984	3,4793	3,8641	4,1792	
4,1948	4,5439	4,8639	5,1668	5,4754	5,7604	6,014	6,3167	6,6071	6,9301	7,2296	7,5342	7,8707	8,1762	8,5103	8,8669	9,2097	9,5609	9,9161	0,34021	0,6678	0,99658	1,2803	1,5951	1,8927	2,1932	2,5416	2,8431	3,1241	3,5089	3,824	
3,8546	4,2037	4,5237	4,8266	5,1351	5,4202	5,6738	5,9765	6,2669	6,5899	6,8894	7,194	7,5304	7,836	8,1701	8,5266	8,8694	9,2207	9,5759	9,9161	0,32759	0,65637	0,94011	1,2549	1,5525	1,8529	2,2013	2,5029	2,7839	3,1687	3,4838	
3,527	3,8761	4,1961	4,499	4,8076	5,0926	5,3462	5,6489	5,9393	6,2623	6,5618	6,8664	7,2029	7,5084	7,8426	8,1991	8,5419	8,8931	9,2483	9,5885	9,9161	0,32878	0,61252	0,92732	1,2249	1,5254	1,8738	2,1753	2,4563	2,8411	3,1562	
3,1982	3,5473	3,8673	4,1702	4,4788	4,7638	5,0174	5,3202	5,6105	5,9335	6,233	6,5376	6,8741	7,1796	7,5138	7,8703	8,2131	8,5643	8,9195	9,2597	9,5873	9,9161	0,28374	0,59854	0,89612	1,1966	1,545	1,8465	2,1275	2,5123	2,8274	
2,9144	3,2635	3,5836	3,8865	4,195	4,4801	4,7337	5,0364	5,3267	5,6497	5,9493	6,2539	6,5903	6,8959	7,23	7,5865	7,9293	8,2806	8,6358	8,976	9,3036	9,6324	9,9161	0,3148	0,61238	0,91283	1,2612	1,5628	1,8438	2,2286	2,5436	
2,5996	2,9487	3,2688	3,5717	3,8802	4,1653	4,4189	4,7216	5,0119	5,3349	5,6345	5,9391	6,2755	6,5811	6,9152	7,2717	7,6145	7,9658	8,321	8,6612	8,9888	9,3176	9,6013	9,9161	0,29758	0,59803	0,94643	1,248	1,529	1,9138	2,2288	
2,3021	2,6512	2,9712	3,2741	3,5827	3,8677	4,1213	4,424	4,7144	5,0374	5,3369	5,6415	5,9779	6,2835	6,6176	6,9741	7,317	7,6682	8,0234	8,3636	8,6912	9,02	9,3037	9,6185	9,9161	0,30045	0,64885	0,95043	1,2314	1,6162	1,9313	
2,0016	2,3507	2,6707	2,9736	3,2822	3,5673	3,8208	4,1236	4,4139	4,7369	5,0364	5,3411	5,6775	5,983	6,3172	6,6737	7,0165	7,3677	7,723	8,0632	8,3908	8,7195	9,0033	9,3181	9,6157	9,9161	0,3484	0,64998	0,93095	1,3158	1,6308	
1,6532	2,0023	2,3223	2,6253	2,9338	3,2189	3,4724	3,7752	4,0655	4,3885	4,688	4,9927	5,3291	5,6346	5,9688	6,3253	6,6681	7,0193	7,3746	7,7148	8,0424	8,3711	8,6549	8,9697	9,2673	9,5677	9,9161	0,30158	0,58255	0,96736	1,2824	
1,3516	1,7007	2,0208	2,3237	2,6322	2,9173	3,1709	3,4736	3,7639	4,0869	4,3865	4,6911	5,0275	5,3331	5,6672	6,0237	6,3665	6,7178	7,073	7,4132	7,7408	8,0696	8,3533	8,6681	8,9657	9,2661	9,6145	9,9161	0,28098	0,66578	0,98084	
1,0707	1,4198	1,7398	2,0427	2,3513	2,6363	2,8899	3,1926	3,483	3,806	4,1055	4,4101	4,7465	5,0521	5,3862	5,7427	6,0856	6,4368	6,792	7,1322	7,4598	7,7886	8,0723	8,3871	8,6847	8,9852	9,3336	9,6351	9,9161	0,38481	0,69987	
0,68585	1,035	1,355	1,6579	1,9664	2,2515	2,5051	2,8078	3,0982	3,4212	3,7207	4,0253	4,3617	4,6673	5,0014	5,3579	5,7007	6,052	6,4072	6,7474	7,075	7,4038	7,6875	8,0023	8,2999	8,6004	8,9488	9,2503	9,5313	9,9161	0,31506	
